1|1|deposito|56.0|1750745756938||1||
2|4|deposito|79.16|1750745981207||1||
3|5|deposito|170.0|1750746036457||1||
4|6|deposito|687.4|1750746070767||1||
5|8|deposito|37.4|1750746228789||1||
6|3|premio|7.48|1750746451845|Prêmio de rodada grátis #15|1||
7|10|deposito|3.08|1750746531226||1||
8|11|deposito|52.92|1750747042349||1||
11|11|ganho|27.22|1750747155021|Registro de ganho #3|1||
12|12|deposito|3.85|1750747180475||1||
13|13|deposito|7.66|1750747203970||1||
14|14|deposito|5.03|1750747269953||1||
15|15|deposito|19.0|1750747397057||1||
16|16|deposito|4.29|1750747461642||1||
17|16|premio|25.08|1750747839334|Prêmio de rodada grátis #16|1||
18|17|deposito|6.82|1750747912353||1||
19|19|deposito|107.2|1750747977494||1||
20|20|deposito|42.33|1750748007024||1||
21|28|deposito|53.94|1750748162557||1||
22|29|deposito|50.0|1750748226169||1||
23|30|deposito|54.0|1750748255369||1||
24|31|deposito|30.0|1750748276035||1||
25|34|deposito|154.79|1750748374207||1||
26|35|deposito|9.66|1750748420923||1||
27|36|deposito|80.09|1750748456692||1||
28|37|deposito|460.28|1750748512472||1||
29|38|deposito|10.0|1750748532069||1||
30|39|deposito|81.2|1750748551751||1||
31|42|deposito|28.0|1750748658101||1||
32|47|deposito|6.82|1750748890438||1||
33|49|deposito|24.77|1750748925951||1||
34|71|deposito|68.01|1750748949418||1||
35|29|aposta|50.0|1750749170836|Aposta arbitragem #7 - Casa 1|1||
36|9|aposta|220.0|1750749170836|Aposta arbitragem #7 - Casa 2|1||
37|9|aposta|180.0|1750749216282|Aposta arbitragem #8 - Casa 2|1||
38|72|aposta|50.0|1750749216282|Aposta arbitragem #8 - Casa 1|1||
39|9|deposito|400.0|1750749223585||1||
41|72|deposito|200.0|1750749250901||1||
42|29|premio|287.5|1750749259613|Prêmio arbitragem #7 (casa1)|1||
43|9|premio|262.02|1750749259615|Prêmio arbitragem #7 (casa2)|1||
44|72|premio|250.0|1750749342885|Prêmio arbitragem #8 (casa1)|1||
45|9|premio|217.44|1750749342887|Prêmio arbitragem #8 (casa2)|1||
46|9|saque|479.46|1750749364069||1||
58|62|premio|19.05|1750767893580|Prêmio de rodada grátis #17|1||
59|2|ganho|46.0|1750768445895|Registro de ganho #4|1||
60|2|deposito|50.0|1750768452381||1||
61|72|saque|400.0|1750768965242||1||
62|6|aposta|180.0|1750769550907|Aposta arbitragem #10 - Casa 2|1||
63|5|aposta|50.0|1750769550907|Aposta arbitragem #10 - Casa 1|1||
64|6|aposta|92.62|1750769772974|Aposta arbitragem #11 - Casa 2|1||
65|5|aposta|70.0|1750770574962|Aposta arbitragem #12 - Casa 1|1||
66|37|aposta|91.29|1750770574962|Aposta arbitragem #12 - Casa 2|1||
67|73|deposito|37.0|1750770856110||1||
68|74|deposito|15.18|1750770922687||1||
69|75|deposito|15.0|1750771003267||1||
70|50|deposito|152.75|1750772538487||1||
71|61|deposito|7.58|1750773070174||1||
72|63|deposito|33.0|1750773126786||1||
73|64|deposito|6.68|1750773176703||1||
74|65|deposito|13.3|1750773232296||1||
75|66|deposito|15.0|1750773308516||1||
76|68|deposito|30.0|1750773442839||1||
77|67|deposito|46.0|1750773555680||1||
78|70|deposito|42.0|1750773607908||1||
79|69|deposito|10.0|1750773621340||1||
80|2|saque|96.0|1750773759445||1||
81|3|saque|7.48|1750773771628||1||
82|11|aposta|8.44|1750781644953|Aposta arbitragem #13 - Casa 2|1||
83|34|aposta|25.0|1750781644953|Aposta arbitragem #13 - Casa 1|1||
84|16|deposito|21.0|1750782870316||1||
85|9|deposito|250.0|1750782921214||1||
86|16|aposta|50.0|1750783121096|Aposta arbitragem #14 - Casa 1|1||
87|9|aposta|56.67|1750783121096|Aposta arbitragem #14 - Casa 2|1||
88|61|deposito|43.0|1750783257104||1||
